,station,latitude,longitude
423,321,40.69991755,-73.98971773
2326,322,40.696192,-73.991218
92,323,40.69236178,-73.98631746
174,324,40.689888,-73.981013
501,325,40.73624527,-73.98473765
189,326,40.72953837,-73.98426726
1227,327,40.7153379,-74.01658354
124,328,40.72405549,-74.00965965
219,329,40.72015227,-74.01036501
603,330,40.71450451,-74.00562789
1404,331,40.71173107,-73.99193043
810,332,40.71219906,-73.97948148
276,334,40.74238787,-73.99726235
1046,335,40.72903917,-73.99404649
192,336,40.73047747,-73.99906065
680,337,40.7037992,-74.00838676
5398,339,40.72580614,-73.97422494
1772,340,40.71269042,-73.98776323
2271,341,40.71782143,-73.97628939
830,342,40.71739973,-73.98016555
1397,343,40.69794,-73.96986848
545,344,40.6851443,-73.95380904
473,345,40.73649403,-73.99704374
513,346,40.73652889,-74.00618026
288,347,40.728846,-74.008591
187,348,40.72490985,-74.00154702
214,349,40.71850211,-73.98329859
194,350,40.71559509,-73.9870295
1764,351,40.70530954,-74.00612572
1444,352,40.76340613,-73.97722479
409,353,40.68539567,-73.97431458
89,354,40.69363137,-73.96223558
37,355,40.71602118,-73.99974372
460,356,40.71622644,-73.98261206
77,357,40.73261787,-73.99158043
38,358,40.73291553,-74.00711384
976,359,40.75510267,-73.97498696
2121,360,40.70717936,-74.00887308
438,361,40.71605866,-73.99190759
123,362,40.75172632,-73.98753523
436,363,40.70834698,-74.01713445
630,364,40.68900443,-73.96023854
462,365,40.68223166,-73.9614583
394,366,40.693261,-73.968896
521,367,40.75828065,-73.97069431
279,368,40.73038599,-74.00214988
66,369,40.73224119,-74.00026394
1463,372,40.69454609,-73.95801365
1763,373,40.69331716,-73.95381995
170,375,40.72679454,-73.99695094
138,376,40.70862144,-74.00722156
153,377,40.72243797,-74.00566443
1224,379,40.749156,-73.9916
23,380,40.73401143,-74.00293877
228,382,40.73492695,-73.99200509
941,383,40.735238,-74.000271
149,384,40.683048,-73.964915
1278,385,40.75797322,-73.96603308
238,386,40.71494807,-74.00234482
19159,387,40.71273266,-74.0046073
412,388,40.74971775,-74.00295035
71,389,40.71044554,-73.96525063
2572,390,40.69221589,-73.9842844
384,391,40.69760127,-73.99344559
142,392,40.695065,-73.987167
167,393,40.72299208,-73.97995466
675,394,40.72521311,-73.97768752
341,395,40.68807003,-73.98410637
302,396,40.68034242,-73.95576894
273,397,40.68415748,-73.96922273
225,398,40.69165183,-73.9999786
640,399,40.68851534,-73.9647628
13332,400,40.71926081,-73.98178024
245,401,40.72019576,-73.98997825
234,402,40.7403432,-73.98955109
367,403,40.72502876,-73.99069656
12,404,40.7405826,-74.00550867
139,405,40.739323,-74.008119
2,406,40.69512845,-73.99595065
1386,407,40.700469,-73.991454
595,408,40.71076228,-73.99400398
330152,409,40.6906495,-73.95643107
118,410,40.72066442,-73.98517977
1451,411,40.72228087,-73.97668709
61,412,40.7158155,-73.99422366
400,414,40.70281858,-73.98765762
1902,415,40.7047177,-74.00926027
253,416,40.68753406,-73.97265183
655,417,40.71291224,-74.01020234
791,418,40.70224,-73.982578
1034,419,40.69580705,-73.97355569
117,420,40.68764484,-73.96968902
1672,421,40.69573398,-73.97129668
256,422,40.770513,-73.988038
13,423,40.76584941,-73.98690506
185,426,40.71754834,-74.01322069
152,427,40.701907,-74.013942
145,428,40.72467721,-73.98783413
697,430,40.7014851,-73.98656928
10089,431,40.68864636,-73.98263429
7,432,40.72621788,-73.98379855
617,433,40.72955361,-73.98057249
2324,434,40.74317449,-74.00366443
705,435,40.74173969,-73.99415556
2425,436,40.68216564,-73.95399026
481,437,40.68098339,-73.95004798
307,438,40.72779126,-73.98564945
33,439,40.7262807,-73.98978041
4368,440,40.75255434,-73.97282625
102,441,40.756014,-73.967416
181,442,40.746647,-73.993915
7149,443,40.70853074,-73.96408963
0,444,40.7423543,-73.98915076
43,445,40.72740794,-73.98142006
313,446,40.74487634,-73.99529885
104,447,40.76370739,-73.9851615
488,448,40.75660359,-73.9979009
645,449,40.76461837,-73.98789473
206,450,40.76227205,-73.98788205
27,453,40.74475148,-73.99915362
788,454,40.75455731,-73.96592976
504,455,40.75001986,-73.96905301
464,456,40.7597108,-73.97402311
470,457,40.76695317,-73.98169333
321,458,40.751396,-74.005226
144,459,40.746745,-74.007756
193,460,40.71285887,-73.96590294
141,461,40.73587678,-73.98205027
243,462,40.74691959,-74.00451887
370,463,40.74206539,-74.00443172
853,464,40.75934501,-73.96759673
